,OverallQual,YearBuilt,TotalBsmtSF,GrLivArea,FullBath,GarageCars,SalePrice
0,7,2003,6.752270376141742,7.444248649496705,2,2,12.247694320220994
1,6,1976,7.140453043101158,7.140453043101158,2,2,12.109010932687042
2,7,2001,6.824373670043086,7.487733761436444,2,2,12.31716669303576
3,7,1915,6.628041376179533,7.448333860897476,1,3,11.84939770159144
4,8,2000,7.0431599159883405,7.6953031349635665,2,3,12.429216196844383
5,5,1993,6.679599185844383,7.216709486709457,1,2,11.870599909242044
6,8,2004,7.430114138561801,7.434847875211999,2,2,12.634603026569334
7,7,1973,7.009408932708637,7.644919344958857,2,2,12.206072645530174
8,7,1931,6.858565034791365,7.480992162869525,2,2,11.77452020265869
9,5,1939,6.898714534329988,6.981934677156389,1,1,11.678439903447801
10,5,1965,6.946975992135418,6.946975992135418,1,1,11.771436160121729
11,9,2005,7.069023426578259,7.751045117971802,3,3,12.751299696013497
12,5,1962,6.815639990074331,6.815639990074331,1,1,11.877568578558138
13,7,2006,7.309212365692763,7.309212365692763,2,3,12.540757571577291
14,6,1960,7.133295954896068,7.133295954896068,1,1,11.964001084330445
15,7,1929,6.723832440821209,6.74993119378857,1,2,11.790557201568507
16,6,1970,6.911747300251674,6.911747300251674,1,2,11.911701584927597
17,4,1967,0.0,7.16703787691222,2,2,11.407564949312402
18,5,2004,7.01571242048723,7.01571242048723,1,2,11.976659481202368
19,5,1958,6.9363427358340495,7.199678345691172,1,1,11.842229212112828
20,8,2005,7.05444965813294,7.773173680482536,3,3,12.692503112461443
21,7,1930,6.456769655572163,7.010311867307229,1,1,11.845102777308561
22,8,2002,7.482681828154651,7.492760300922379,2,2,12.345834587905333
23,5,1976,6.946975992135418,6.966024187106113,1,2,11.77452020265869
24,5,1968,6.966024187106113,6.966024187106113,1,1,11.944707881395766
25,8,2007,7.356279876550748,7.3777589082278725,2,3,12.454103912352162
26,5,1951,6.802394763324311,6.802394763324311,1,2,11.811547477460344
27,8,2007,7.440733707389261,7.440733707389261,2,3,12.631340380934517
28,5,1957,7.302496423727326,7.3777589082278725,1,1,12.24288661865289
29,4,1927,6.253828811575473,6.253828811575473,1,1,11.134589024250317
30,4,1920,6.47543271670409,7.183111701743281,1,1,10.596634733096073
31,5,1966,7.113142108707088,7.113142108707088,1,1,11.914047823644255
32,8,2007,7.1180162044653335,7.1180162044653335,2,2,12.100156419938624
33,5,1959,7.242797922793756,7.438383530044307,1,2,12.016726473799254
34,9,2005,7.353081920515432,7.353081920515432,2,2,12.533576212168626
35,8,2004,7.018401799069201,7.804659297056102,3,3,12.641096555879882
36,5,1994,7.00033446027523,7.00033446027523,1,2,11.884489021402711
37,5,1954,7.167809184316444,7.167809184316444,1,2,11.938193200374572
38,5,1953,6.963189985870238,6.963189985870238,1,1,11.59910316121128
39,4,1955,0.0,7.049254841255837,2,0,11.314474526246391
40,6,1965,6.992096427415888,7.188412736496954,2,2,11.982929094215963
41,5,1959,7.2078598714324755,7.191429330036379,1,1,12.043553716032399
42,5,1983,6.733401891837359,6.784457062637643,1,2,11.877568578558138
43,5,1975,6.843749949006225,6.843749949006225,1,1,11.777210959615614
44,5,1959,7.047517221357296,7.047517221357296,1,1,11.856515169360305
45,9,2005,7.468513271496337,7.468513271496337,2,2,12.675763725937609
46,7,2003,7.2682230211595655,7.67275789664251,1,2,12.387085012375499
47,8,2006,7.412160334945205,7.412160334945205,2,3,12.428015476267865
48,4,1920,6.601230118728877,7.280697195384741,2,0,11.635143097694478
49,5,1966,6.86171134048073,6.86171134048073,1,1,11.751942365440728
50,6,1997,6.677083461247136,7.293017679772782,2,2,12.083905011555967
51,6,1934,6.704414354964107,7.069874128458572,1,2,11.648330101976432
52,5,1963,6.704414354964107,6.704414354964107,1,2,11.608235644774552
53,9,1981,7.518607216815252,7.518607216815252,0,3,12.86099861326992
54,5,1955,5.950642552587727,7.215239978730097,1,2,11.77528972943772
55,6,1964,7.261927092702751,7.261927092702751,2,2,12.103486056755072
56,8,1999,6.877296071497429,7.461065514354283,2,2,12.058152515453552
57,7,2004,6.756932389247553,7.450079569807499,2,2,12.188417710291453
58,10,2006,7.251344983372214,7.987864096085687,3,3,12.991753427493052
59,5,1972,6.659293919683638,6.659293919683638,1,1,11.73526869611367
60,6,2004,7.05444965813294,7.05444965813294,1,2,11.970350312009105
61,5,1920,6.272877006546167,7.01301578963963,1,1,11.522875795823397
62,8,2006,7.222566018822171,7.222566018822171,2,2,12.218495165528731
63,7,1921,6.3561076606958915,7.444248649496705,2,2,11.84939770159144
64,7,1997,6.963189985870238,7.617759576608505,2,2,12.299107511497363
65,8,2004,7.04141166379481,7.813187267521416,2,3,12.666657052859417
66,7,1970,7.5740450053721995,7.699389406256737,2,2,12.100712129872347
67,7,2003,7.2813856635702825,7.2991214627108,2,2,12.328290278254423
68,4,1945,6.616065185132817,6.616065185132817,1,1,11.289781913656018
69,7,1953,7.1731917424865985,7.734996194022781,2,2,12.323855681186558
70,7,1973,7.706612913964197,7.706612913964197,2,2,12.404923504275338
71,4,1982,6.739336627357174,6.739336627357174,1,2,11.771436160121729
72,7,1998,6.723832440821209,7.4489161025442,2,2,12.128111104060462
